folder,doi,publisher,crossref_license,unpaywall_license,oa_status,classification,reason
10.1186_s40543-016-0103-8,10.1186/s40543-016-0103-8,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40691-024-00383-x,10.1186/s40691-024-00383-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12934-021-01663-7,10.1186/s12934-021-01663-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s11671-021-03476-4,10.1186/s11671-021-03476-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12870-023-04683-0,10.1186/s12870-023-04683-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13613-014-0042-8,10.1186/s13613-014-0042-8,BMC,CC-BY-NC-ND,CC-BY,gold,RED,no-derivatives license (CC-BY-NC-ND); cleaning/chunking is a derivative
10.1186_s40360-023-00727-1,10.1186/s40360-023-00727-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13321-016-0137-3,10.1186/s13321-016-0137-3,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12864-019-5479-6,10.1186/s12864-019-5479-6,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12889-019-7144-z,10.1186/s12889-019-7144-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12978-015-0097-5,10.1186/s12978-015-0097-5,BMC,proprietary,CC-BY,gold,RED,source disagreement: CC license found (CC-BY) but weaker source non-open (crossref=proprietary); conservative RED
10.1186_s13568-024-01673-9,10.1186/s13568-024-01673-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12951-019-0456-4,10.1186/s12951-019-0456-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1476-9255-8-31,10.1186/1476-9255-8-31,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12862-018-1193-2,10.1186/s12862-018-1193-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-7-10,10.1186/1556-276X-7-10,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1475-2859-11-108,10.1186/1475-2859-11-108,BMC,none,none,gold,RED,"oa_status=gold but no recognized open license (cr=none, up=none); conservative RED"
10.1186_s13638-017-0957-5,10.1186/s13638-017-0957-5,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s41181-023-00197-0,10.1186/s41181-023-00197-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1475-2859-8-32,10.1186/1475-2859-8-32,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s41476-016-0031-7,10.1186/s41476-016-0031-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12931-020-1285-6,10.1186/s12931-020-1285-6,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12883-018-1198-x,10.1186/s12883-018-1198-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13578-024-01250-4,10.1186/s13578-024-01250-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12302-021-00574-z,10.1186/s12302-021-00574-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-9-341,10.1186/1556-276X-9-341,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12916-020-01773-w,10.1186/s12916-020-01773-w,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s43094-021-00344-x,10.1186/s43094-021-00344-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-7-79,10.1186/1556-276X-7-79,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12889-024-19866-z,10.1186/s12889-024-19866-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s11671-018-2632-0,10.1186/s11671-018-2632-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s11671-016-1705-1,10.1186/s11671-016-1705-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
