folder,doi,publisher,crossref_license,unpaywall_license,oa_status,classification,reason
10.1186_1471-2105-15-196,10.1186/1471-2105-15-196,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12896-020-0603-x,10.1186/s12896-020-0603-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12915-016-0269-y,10.1186/s12915-016-0269-y,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12934-014-0103-6,10.1186/s12934-014-0103-6,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12906-023-03845-9,10.1186/s12906-023-03845-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12302-020-00384-9,10.1186/s12302-020-00384-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13014-021-01804-7,10.1186/s13014-021-01804-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12929-025-01120-2,10.1186/s12929-025-01120-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1471-2105-15-214,10.1186/1471-2105-15-214,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13021-017-0083-z,10.1186/s13021-017-0083-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40580-018-0154-1,10.1186/s40580-018-0154-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12906-021-03420-0,10.1186/s12906-021-03420-0,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-9-290,10.1186/1556-276X-9-290,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1756-6606-1-7,10.1186/1756-6606-1-7,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13036-019-0179-y,10.1186/s13036-019-0179-y,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13041-019-0485-9,10.1186/s13041-019-0485-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1758-2946-4-20,10.1186/1758-2946-4-20,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s11671-015-1128-4,10.1186/s11671-015-1128-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12889-020-09452-4,10.1186/s12889-020-09452-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12935-021-02020-9,10.1186/s12935-021-02020-9,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40623-021-01478-1,10.1186/s40623-021-01478-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13065-022-00856-4,10.1186/s13065-022-00856-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1476-4598-12-171,10.1186/1476-4598-12-171,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-8-478,10.1186/1556-276X-8-478,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40814-017-0156-5,10.1186/s40814-017-0156-5,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13677-024-00693-x,10.1186/s13677-024-00693-x,BMC,CC-BY-NC-ND,CC-BY-NC-ND,gold,RED,no-derivatives license (CC-BY-NC-ND); cleaning/chunking is a derivative
10.1186_1472-6882-14-141,10.1186/1472-6882-14-141,BMC,proprietary,CC-BY,gold,RED,source disagreement: CC license found (CC-BY) but weaker source non-open (crossref=proprietary); conservative RED
10.1186_s11671-016-1627-y,10.1186/s11671-016-1627-y,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1556-276X-7-482,10.1186/1556-276X-7-482,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s11671-017-2290-7,10.1186/s11671-017-2290-7,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12951-015-0150-0,10.1186/s12951-015-0150-0,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13287-023-03424-2,10.1186/s13287-023-03424-2,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1471-2105-12-241,10.1186/1471-2105-12-241,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12864-024-10027-5,10.1186/s12864-024-10027-5,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s43088-020-0038-4,10.1186/s43088-020-0038-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1465-9921-10-15,10.1186/1465-9921-10-15,BMC,proprietary,CC-BY,gold,RED,source disagreement: CC license found (CC-BY) but weaker source non-open (crossref=proprietary); conservative RED
10.1186_1477-3155-11-7,10.1186/1477-3155-11-7,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12866-015-0455-z,10.1186/s12866-015-0455-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1472-6750-11-14,10.1186/1472-6750-11-14,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13068-016-0674-z,10.1186/s13068-016-0674-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13065-019-0571-1,10.1186/s13065-019-0571-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s10194-018-0867-x,10.1186/s10194-018-0867-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12883-020-01729-w,10.1186/s12883-020-01729-w,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13071-019-3341-y,10.1186/s13071-019-3341-y,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_1471-2180-12-140,10.1186/1471-2180-12-140,BMC,none,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s12864-024-10326-x,10.1186/s12864-024-10326-x,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_2050-6511-14-35,10.1186/2050-6511-14-35,BMC,proprietary,none,gold,RED,proprietary license despite oa_status=gold; no CC license
10.1186_s42162-024-00463-8,10.1186/s42162-024-00463-8,BMC,CC-BY-NC-ND,CC-BY-NC-ND,gold,RED,no-derivatives license (CC-BY-NC-ND); cleaning/chunking is a derivative
10.1186_s12970-020-00381-6,10.1186/s12970-020-00381-6,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13040-020-00229-4,10.1186/s13040-020-00229-4,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s40168-022-01367-z,10.1186/s40168-022-01367-z,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13148-021-01207-1,10.1186/s13148-021-01207-1,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.1186_s13037-022-00343-8,10.1186/s13037-022-00343-8,BMC,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.02272,10.7554/eLife.02272,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.68346,10.7554/eLife.68346,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.51453,10.7554/eLife.51453,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.07888,10.7554/eLife.07888,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.63835,10.7554/eLife.63835,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.07118,10.7554/eLife.07118,eLife,CC-BY,public-domain,gold,GREEN,"public-domain (open, redistributable + derivatives)"
10.7554_eLife.23961,10.7554/eLife.23961,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.47804,10.7554/eLife.47804,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.39393,10.7554/eLife.39393,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.39637,10.7554/eLife.39637,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.52125,10.7554/eLife.52125,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.33572,10.7554/eLife.33572,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.12792,10.7554/eLife.12792,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.00792,10.7554/eLife.00792,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.65339,10.7554/eLife.65339,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.69091,10.7554/eLife.69091,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.29222,10.7554/eLife.29222,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_ELIFE.58157,10.7554/ELIFE.58157,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.60404,10.7554/eLife.60404,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.57322,10.7554/eLife.57322,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.44305,10.7554/eLife.44305,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.04871,10.7554/eLife.04871,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.35255,10.7554/eLife.35255,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.78136,10.7554/eLife.78136,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.55370,10.7554/eLife.55370,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.13879,10.7554/eLife.13879,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.08005,10.7554/eLife.08005,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.86628,10.7554/eLife.86628,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.83884,10.7554/eLife.83884,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.29023,10.7554/eLife.29023,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.14052,10.7554/eLife.14052,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.08363,10.7554/eLife.08363,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.67282,10.7554/eLife.67282,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.27854,10.7554/eLife.27854,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.06953,10.7554/eLife.06953,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.17756,10.7554/eLife.17756,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.00461,10.7554/eLife.00461,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.42806,10.7554/eLife.42806,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.13098,10.7554/eLife.13098,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.24414,10.7554/eLife.24414,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.73976,10.7554/eLife.73976,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.50279,10.7554/eLife.50279,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.57154,10.7554/eLife.57154,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.67772,10.7554/eLife.67772,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.01963,10.7554/eLife.01963,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.70658,10.7554/eLife.70658,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.29959,10.7554/eLife.29959,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_elife.98070,10.7554/elife.98070,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.23872,10.7554/eLife.23872,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.41771,10.7554/eLife.41771,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.40618,10.7554/eLife.40618,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.21687,10.7554/eLife.21687,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.29914,10.7554/eLife.29914,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.62588,10.7554/eLife.62588,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.66181,10.7554/eLife.66181,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.67659,10.7554/eLife.67659,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.13288,10.7554/eLife.13288,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.47732,10.7554/eLife.47732,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.70766,10.7554/eLife.70766,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.38114,10.7554/eLife.38114,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.28360,10.7554/eLife.28360,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.40499,10.7554/eLife.40499,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.55964,10.7554/eLife.55964,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.46689,10.7554/eLife.46689,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.13356,10.7554/eLife.13356,eLife,CC0,CC-BY,gold,GREEN,"CC0 (open, redistributable + derivatives)"
10.7554_ELIFE.59388,10.7554/ELIFE.59388,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.38183,10.7554/eLife.38183,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.73943,10.7554/eLife.73943,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.08698,10.7554/eLife.08698,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.7554_eLife.18227,10.7554/eLife.18227,eLife,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.9649.1,10.12688/f1000research.9649.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.138867.1,10.12688/f1000research.138867.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.144624.2,10.12688/f1000research.144624.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.122649.1,10.12688/f1000research.122649.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.145889.2,10.12688/f1000research.145889.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_openreseurope.14301.2,10.12688/openreseurope.14301.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.73134.1,10.12688/f1000research.73134.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.142513.1,10.12688/f1000research.142513.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.8466.1,10.12688/f1000research.8466.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.26731.1,10.12688/f1000research.26731.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.129860.1,10.12688/f1000research.129860.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.6075.1,10.12688/f1000research.6075.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_openreseurope.13860.2,10.12688/openreseurope.13860.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_openreseurope.14354.3,10.12688/openreseurope.14354.3,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.4097.1,10.12688/f1000research.4097.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_openreseurope.17146.1,10.12688/openreseurope.17146.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.26756.2,10.12688/f1000research.26756.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.109399.1,10.12688/f1000research.109399.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.16015.1,10.12688/f1000research.16015.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.52836.2,10.12688/f1000research.52836.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_gatesopenres.13138.2,10.12688/gatesopenres.13138.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.132880.2,10.12688/f1000research.132880.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_openreseurope.15154.2,10.12688/openreseurope.15154.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.109586.1,10.12688/f1000research.109586.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.126762.2,10.12688/f1000research.126762.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.17959.1,10.12688/f1000research.17959.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_F1000RESEARCH.8132.2,10.12688/F1000RESEARCH.8132.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.7537.1,10.12688/f1000research.7537.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.108761.2,10.12688/f1000research.108761.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.122764.1,10.12688/f1000research.122764.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.7417.1,10.12688/f1000research.7417.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.5836.2,10.12688/f1000research.5836.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.11015.1,10.12688/f1000research.11015.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.133426.1,10.12688/f1000research.133426.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_F1000RESEARCH.9185.1,10.12688/F1000RESEARCH.9185.1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_wellcomeopenres.15675.2,10.12688/wellcomeopenres.15675.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.127347.3,10.12688/f1000research.127347.3,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_F1000RESEARCH.25390.2,10.12688/F1000RESEARCH.25390.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.73498.2,10.12688/f1000research.73498.2,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.12688_f1000research.2-94.v1,10.12688/f1000research.2-94.v1,F1000Research,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules28155728,10.3390/molecules28155728,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s21217333,10.3390/s21217333,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_catal10030355,10.3390/catal10030355,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules30071560,10.3390/molecules30071560,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_ma14174895,10.3390/ma14174895,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s23042178,10.3390/s23042178,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s24061810,10.3390/s24061810,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_ma11071143,10.3390/ma11071143,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_met7100439,10.3390/met7100439,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules29225339,10.3390/molecules29225339,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s22207789,10.3390/s22207789,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s23249638,10.3390/s23249638,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_bios12060368,10.3390/bios12060368,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s18030730,10.3390/s18030730,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_electronics9030469,10.3390/electronics9030469,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_app14041487,10.3390/app14041487,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_app8101775,10.3390/app8101775,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_mi15101213,10.3390/mi15101213,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s16070978,10.3390/s16070978,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_antibiotics13050469,10.3390/antibiotics13050469,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_batteries9060335,10.3390/batteries9060335,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules29184305,10.3390/molecules29184305,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_s23020913,10.3390/s23020913,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_md21020103,10.3390/md21020103,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules28217443,10.3390/molecules28217443,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_plants14030353,10.3390/plants14030353,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_molecules29184482,10.3390/molecules29184482,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
10.3390_su14159039,10.3390/su14159039,MDPI,CC-BY,CC-BY,gold,GREEN,"CC-BY (open, redistributable + derivatives)"
